Migration Enforcement,Month,Apprehensions
INM,12/1/2018,6637
INM,1/1/2019,8542
INM,2/1/2019,10209
INM,3/1/2019,13534
INM,4/1/2019,21240
INM,5/1/2019,23419
INM,6/1/2019,31560
INM,7/1/2019,20005
INM,8/1/2019,16098
INM,9/1/2019,13538
INM,10/1/2019,12333
INM,11/1/2019,9404
INM,12/1/2019,7305
INM,1/1/2020,13672
INM,2/1/2020,8328
CBP ,12/1/2018,50751
CBP ,1/1/2019,47979
CBP ,2/1/2019,66883
CBP ,3/1/2019,92833
CBP ,4/1/2019,99273
CBP ,5/1/2019,132856
CBP ,6/1/2019,94902
CBP ,7/1/2019,71978
CBP ,8/1/2019,50684
CBP ,9/1/2019,40507
CBP ,10/1/2019,35407
CBP ,11/1/2019,33520
CBP ,12/1/2019,32854
CBP ,1/1/2020,29201
CBP ,2/1/2020,30074
